
12	15/05/2024 18.10	1	1
4	15/05/2024 18.18	1	1
1	15/05/2024 18.25	1	1
13	16/05/2024 07.45	1	1
16	16/05/2024 08.17	0	1
14	16/05/2024 08.23	0	1
6	16/05/2024 08.40	0	1
18	16/05/2024 09.13	0	1
4	16/05/2024 09.16	0	1
12	16/05/2024 09.41	0	1
13	16/05/2024 16.58	0	1
16	16/05/2024 17.54	1	1
6	16/05/2024 17.55	1	1
14	16/05/2024 17.55	1	1
12	16/05/2024 17.59	1	1
4	16/05/2024 18.00	1	1
13	17/05/2024 07.24	1	1
16	17/05/2024 07.56	0	1
14	17/05/2024 08.38	0	1
6	17/05/2024 09.05	0	1
12	17/05/2024 09.30	0	1
18	17/05/2024 09.32	0	1
4	17/05/2024 09.46	0	1
19	17/05/2024 09.55	0	1
13	17/05/2024 16.53	0	1
12	17/05/2024 17.13	1	1
16	17/05/2024 17.52	1	1
14	17/05/2024 17.52	1	1
6	17/05/2024 17.52	1	1
4	17/05/2024 17.52	1	1
13	20/05/2024 07.50	1	1
16	20/05/2024 08.40	0	1
14	20/05/2024 08.41	0	1
4	20/05/2024 08.51	0	1
18	20/05/2024 08.56	0	1
3	20/05/2024 08.59	0	16
5	20/05/2024 09.21	0	1
6	20/05/2024 09.22	0	1
9	20/05/2024 09.32	0	16
9	20/05/2024 09.32	0	16
12	20/05/2024 09.32	0	1
10	20/05/2024 10.18	0	1
19	20/05/2024 10.25	0	1
1	20/05/2024 10.41	0	1
13	20/05/2024 17.06	0	1
16	20/05/2024 17.47	1	1
6	20/05/2024 17.47	1	1
3	20/05/2024 17.47	1	1
14	20/05/2024 17.48	1	1
12	20/05/2024 18.01	1	16
12	20/05/2024 18.01	1	16
4	20/05/2024 18.08	1	16
4	20/05/2024 18.08	1	16
1	20/05/2024 18.27	1	1
19	20/05/2024 18.52	1	1
9	20/05/2024 19.11	1	16
9	20/05/2024 19.11	1	16
10	20/05/2024 19.11	1	1
13	21/05/2024 07.49	1	1
16	21/05/2024 08.15	0	1
14	21/05/2024 08.23	0	1
6	21/05/2024 08.42	0	1
3	21/05/2024 08.52	0	1
12	21/05/2024 09.00	0	16
12	21/05/2024 09.00	0	16
18	21/05/2024 09.00	0	1
4	21/05/2024 09.08	0	1
5	21/05/2024 09.13	0	1
1	21/05/2024 09.24	0	1
9	21/05/2024 09.28	0	1
19	21/05/2024 09.39	0	1
10	21/05/2024 10.12	0	1
13	21/05/2024 17.10	1	1
14	21/05/2024 17.40	1	1
5	21/05/2024 17.55	1	1
16	21/05/2024 18.07	1	1
6	21/05/2024 18.07	1	1
3	21/05/2024 18.07	1	0
19	21/05/2024 18.07	1	1
4	21/05/2024 18.08	1	16
4	21/05/2024 18.08	1	16
12	21/05/2024 18.08	1	16
9	21/05/2024 19.38	1	1
10	21/05/2024 19.39	1	1
13	22/05/2024 07.48	1	1
14	22/05/2024 08.21	1	1
16	22/05/2024 08.34	0	1
4	22/05/2024 08.49	0	1
6	22/05/2024 08.53	0	1
2	22/05/2024 09.16	0	1
9	22/05/2024 09.16	0	16
9	22/05/2024 09.16	0	16
5	22/05/2024 09.22	0	1
12	22/05/2024 09.22	0	16
1	22/05/2024 09.27	0	1
18	22/05/2024 09.34	0	1
13	22/05/2024 15.59	0	1
12	22/05/2024 18.01	1	16
12	22/05/2024 18.01	1	16
4	22/05/2024 18.05	1	1
14	22/05/2024 18.23	1	1
2	22/05/2024 18.23	1	1
6	22/05/2024 18.23	1	1
16	22/05/2024 18.23	1	1
1	22/05/2024 18.24	1	1
9	22/05/2024 19.21	1	16
9	22/05/2024 19.21	1	16
10	22/05/2024 19.21	1	1
13	27/05/2024 07.41	1	16
13	27/05/2024 07.41	1	1
16	27/05/2024 08.09	0	1
4	27/05/2024 08.18	0	1
14	27/05/2024 08.31	0	1
6	27/05/2024 08.34	0	1
18	27/05/2024 08.34	0	1
3	27/05/2024 08.38	0	1
2	27/05/2024 08.56	0	1
7	27/05/2024 09.11	0	1
5	27/05/2024 09.11	0	1
12	27/05/2024 09.14	0	1
12	27/05/2024 09.14	0	16
12	27/05/2024 09.14	0	1
9	27/05/2024 09.17	0	16
9	27/05/2024 09.17	0	16
8	27/05/2024 09.22	0	1
15	27/05/2024 09.24	0	1
11	27/05/2024 09.46	0	1
19	27/05/2024 09.46	0	1
1	27/05/2024 10.02	0	1
13	27/05/2024 17.14	0	1
8	27/05/2024 17.59	1	1
9	27/05/2024 18.01	1	16
5	27/05/2024 18.14	1	1
14	27/05/2024 18.17	1	1
1	27/05/2024 18.17	1	1
6	27/05/2024 18.17	1	1
2	27/05/2024 18.17	1	1
3	27/05/2024 18.18	1	1
18	27/05/2024 18.18	1	1
16	27/05/2024 18.18	1	1
4	27/05/2024 18.33	1	1
7	27/05/2024 18.38	1	1
15	27/05/2024 18.38	1	1
11	27/05/2024 18.58	1	1
13	28/05/2024 07.31	1	1
18	28/05/2024 08.05	1	1
16	28/05/2024 08.32	0	1
4	28/05/2024 08.36	0	1
6	28/05/2024 08.38	0	1
2	28/05/2024 08.44	0	1
7	28/05/2024 09.05	0	1
3	28/05/2024 09.09	0	1
5	28/05/2024 09.11	0	1
12	28/05/2024 09.11	0	16
12	28/05/2024 09.11	0	16
8	28/05/2024 09.14	0	16
8	28/05/2024 09.14	0	1
